"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"Q7",3.45168229935529,9.31330394282182,4.03740600247685,0.219569004522282,0.211273019497023
"Q8",2.70024418118966,10.6422318891243,4.83851166648264,7.64542090043647,4.76059443540657
"Q9",5.07558411842195,0.799724151630809,0.00776397292472359,0.95456150234822,0.0190091233973517
"Q10",2.10322164087176,3.97806642901343,3.89895966331331,18.2905730434626,4.17698226493065
"Q11",3.90351445170307,4.10032941784476,8.56667706797675,0.898895901763535,3.35290958354959
"Q12",5.90559601548592,2.46208978477548,0.695178338010086,0.645021617492384,0.632717427765258
"Q13",4.76777939007752,1.41237229202561,0.16037139990694,4.3265238018729,18.3120362511413
"Q14",4.09102261640236,1.86990145643812,2.93457606968652,6.78509312862707,0.777871538383631
"Q15",3.04931065005104,4.70064550317642,2.13161609060164,6.18513617751702,23.594061705892
"Q16",3.27598723449424,10.6260450525415,0.487841486059169,3.81436522536096,0.29887942336155
"Q17",3.29471637682058,6.29136685474665,0.350176097660808,12.597552608164,2.2433839848224
"Q18",2.24976307061631,4.71807100686899,0.117310122143511,6.20254484480295,14.2117827325602
"Q19",2.90168738076049,0.274906401091133,22.8089096999768,0.0778847875732368,4.09139309435008
"Q20",4.67784630641106,1.05821990147942,4.48672533853403,0.504333585877212,1.37947785339026
"Q21",5.28567411892437,0.416495753802501,10.848484147727,0.00902535080134983,7.26474127956718
"Q22",4.35562935620262,0.374913430534243,18.1176106810245,0.602357006922404,0.0403910142408526
"Q23",5.42840261339038,6.86578939935398,0.74760116174461,1.76191770817924,0.573763917912411
"Q24",5.07401883254148,6.09006210460771,0.62650677153906,5.43426108258652,0.557813514842195
"Q25",4.50971889646553,2.11732229329314,5.1951675213221,7.77699643926115,1.08554424347619
"Q26",6.80986330329145,1.73807231855308,0.00475872317870384,0.177976831069794,5.147638444453
"Q27",4.57695326694536,7.57190653943618,4.69806981995237,0.258637090309912,0.182148252111406
"Q28",1.75534820650546,9.2596275153513,1.75029716467912,13.3692961539809,5.41353751817116
"Q29",4.13913705829259,1.1875359285643,0.508395180115241,0.0870573251720746,0.237903383186359
"Q30",6.6172986147794,2.13100063292513,1.98108581296362,1.3749988818958,1.43414599359136
